"Incomplete URL substring sanitization","Security checks on the substrings of an unparsed URL are often vulnerable to bypassing.","warning","The string [[""youtube.com""|""relative:///gpt_researcher/retrievers/bing/bing.py:86:16:86:28""]] may be at an arbitrary position in the sanitized URL.","/gpt_researcher/retrievers/bing/bing.py","86","16","86","45"
"Incomplete URL substring sanitization","Security checks on the substrings of an unparsed URL are often vulnerable to bypassing.","warning","The string [[""youtube.com""|""relative:///gpt_researcher/retrievers/google/google.py:88:16:88:28""]] may be at an arbitrary position in the sanitized URL.","/gpt_researcher/retrievers/google/google.py","88","16","88","46"
"Incomplete URL substring sanitization","Security checks on the substrings of an unparsed URL are often vulnerable to bypassing.","warning","The string [[""https://github.com""|""relative:///tests/report-types.py:41:66:41:85""]] may be at an arbitrary position in the sanitized URL.","/tests/report-types.py","41","51","41","86"
"Incomplete URL substring sanitization","Security checks on the substrings of an unparsed URL are often vulnerable to bypassing.","warning","The string [[""arxiv.org""|""relative:///gpt_researcher/scraper/scraper.py:185:14:185:24""]] may be at an arbitrary position in the sanitized URL.","/gpt_researcher/scraper/scraper.py","185","14","185","32"
"Incomplete URL substring sanitization","Security checks on the substrings of an unparsed URL are often vulnerable to bypassing.","warning","The string [[""youtube.com""|""relative:///gpt_researcher/retrievers/searchapi/searchapi.py:69:28:69:40""]] may be at an arbitrary position in the sanitized URL.","/gpt_researcher/retrievers/searchapi/searchapi.py","69","28","69","58"
"Incomplete URL substring sanitization","Security checks on the substrings of an unparsed URL are often vulnerable to bypassing.","warning","The string [[""youtube.com""|""relative:///gpt_researcher/retrievers/serpapi/serpapi.py:67:28:67:40""]] may be at an arbitrary position in the sanitized URL.","/gpt_researcher/retrievers/serpapi/serpapi.py","67","28","67","58"
"Overly permissive regular expression range","Overly permissive regular expression ranges match a wider range of characters than intended. This may allow an attacker to bypass a filter or sanitizer.","warning","Suspicious character range that is equivalent to [$%&'()*+,\-.\/0-9:;<=>?@A-Z\[\\\]^_].","/gpt_researcher/skills/deep_research.py","169","57","169","59"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///backend/server/server.py:163:27:163:42""]].
This path depends on a [[""user-provided value""|""relative:///backend/server/server.py:200:30:200:38""]].","/multi_agents/agents/orchestrator.py","40","21","40","30"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///backend/server/server.py:117:41:117:51""]].","/backend/server/server.py","119","27","119","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///backend/server/server.py:117:41:117:51""]].","/backend/server/server.py","121","25","121","33"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///backend/server/server.py:163:27:163:42""]].
This path depends on a [[""user-provided value""|""relative:///backend/server/server.py:200:30:200:38""]].","/backend/server/server_utils.py","31","19","31","31"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///backend/server/server.py:163:27:163:42""]].
This path depends on a [[""user-provided value""|""relative:///backend/server/server.py:200:30:200:38""]].","/backend/server/server_utils.py","51","19","51","31"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///backend/server/server.py:163:27:163:42""]].
This path depends on a [[""user-provided value""|""relative:///backend/server/server.py:200:30:200:38""]].","/backend/server/server_utils.py","66","19","66","31"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///backend/server/server.py:195:23:195:30""]].","/backend/server/server_utils.py","250","23","250","31"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///backend/server/server.py:195:23:195:30""]].","/backend/server/server_utils.py","251","19","251","27"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///backend/server/server.py:200:30:200:38""]].","/backend/utils.py","19","30","19","37"
"Clear-text logging of sensitive information","Logging sensitive information without encryption or hashing can expose it to an attacker.","error","This expression logs [[""sensitive data (password)""|""relative:///tests/test_mcp.py:36:18:36:49""]] as clear text.
This expression logs [[""sensitive data (password)""|""relative:///tests/test_mcp.py:37:18:37:49""]] as clear text.","/tests/test_mcp.py","83","19","83","31"
